,City,State,Shape,Sight_Date,Sight_Time,Sight_Weekday,Sight_Day,Sight_Month
273,Fairbanks,AK,Formation,1998-12-15,20:00,Terça-feira,15,12
274,Waterford,WI,Rectangle,1998-12-15,00:00,Terça-feira,15,12
276,Soddy Daisy,TN,Sphere,1998-12-07,10:00,Segunda-feira,7,12
277,Portland,OR,Oval,1999-01-24,20:00,Domingo,24,1
278,Dallas,TX,Circle,1999-01-12,00:00,Terça-feira,12,1
280,Estes Park,CO,Circle,1999-01-05,14:00,Terça-feira,5,1
281,Madison,WI,Disk,1999-01-02,00:00,Sábado,2,1
284,New Orleans,LA,Light,1999-02-20,20:00,Sábado,20,2
285,Palm Springs,CA,Circle,1999-02-20,19:00,Sábado,20,2
286,Cleveland,GA,Oval,1999-02-20,07:00,Sábado,20,2
287,Sacramento,CA,Other,1999-02-15,18:00,Segunda-feira,15,2
291,Post (3 mi. west of),TX,Unknown,1999-03-31,21:00,Quarta-feira,31,3
293,Southington,CT,Disk,1999-03-30,21:00,Terça-feira,30,3
294,Pacific City,OR,Sphere,1999-03-24,20:30,Quarta-feira,24,3
295,Hikilki,MN,Oval,1999-03-22,03:30,Segunda-feira,22,3
296,Jasper,AR,Unknown,1999-03-21,23:00,Domingo,21,3
297,Galax,VA,Sphere,1999-03-13,05:55,Sábado,13,3
298,Johnstown,PA,Cigar,1999-03-10,02:00,Quarta-feira,10,3
300,Fyffe,AL,Rectangle,1999-04-15,19:00,Quinta-feira,15,4
305,Boulder City,NV,Other,1999-05-24,19:00,Segunda-feira,24,5
306,Marion,OH,Sphere,1999-05-21,16:00,Sexta-feira,21,5
307,Panama City Beach,FL,Triangle,1999-05-20,23:00,Quinta-feira,20,5
308,Montrose,IL,Circle,1999-05-20,20:00,Quinta-feira,20,5
309,Jonesboro,IN,Sphere,1999-05-20,18:00,Quinta-feira,20,5
310,Cartwright,ND,Rectangle,1999-05-20,14:00,Quinta-feira,20,5
311,Bakersfield,CA,Circle,1999-05-19,02:00,Quarta-feira,19,5
313,Ashtabula,OH,Cigar,1999-05-15,12:00,Sábado,15,5
314,Airway Heights (rural; N of Fairchild AFB),WA,Disk,1999-05-15,05:45,Sábado,15,5
315,Sturgis,MI,Unknown,1999-05-15,01:15,Sábado,15,5
316,Dixon,IL,Triangle,1999-05-14,00:00,Sexta-feira,14,5
318,Lewisburg,PA,Triangle,1999-05-01,17:00,Sábado,1,5
319,Lexington,SC,Disk,1999-06-30,22:30,Quarta-feira,30,6
320,Shawnee,KS,Other,1999-06-30,16:30,Quarta-feira,30,6
322,Corbin/Williamsburg,KY,Light,1999-06-30,01:00,Quarta-feira,30,6
323,Shingletown,CA,Circle,1999-06-30,00:00,Quarta-feira,30,6
325,Idaho Falls,ID,Unknown,1999-06-25,22:00,Sexta-feira,25,6
326,Hiko (outside of ),NV,Sphere,1999-06-21,18:30,Segunda-feira,21,6
329,Iron Moutain,MI,Disk,1999-06-17,12:00,Quinta-feira,17,6
330,Jasper,AL,Circle,1999-06-15,23:30,Terça-feira,15,6
331,On highway; location unknown,WY,Other,1999-06-15,22:00,Terça-feira,15,6
332,Northern Oglala,SD,Flash,1999-06-15,19:00,Terça-feira,15,6
333,St. Charles,MO,Rectangle,1999-06-15,12:00,Terça-feira,15,6
335,Phoenix,AZ,Disk,1999-06-12,02:30,Sábado,12,6
336,Barksdale AFB,LA,Triangle,1999-06-12,01:00,Sábado,12,6
337,Kansas City (north),MO,Light,1999-06-11,23:00,Sexta-feira,11,6
338,Riverton,WY,Triangle,1999-06-10,23:00,Quinta-feira,10,6
339,Davenport,WA,Sphere,1999-06-10,03:00,Quinta-feira,10,6
340,Sacramento,CA,Unknown,1999-06-06,19:00,Domingo,6,6
341,Interstate (I-295 ??),DE,Unknown,1999-06-05,02:50,Sábado,5,6
342,Bristol,TN,Light,1999-06-01,23:00,Terça-feira,1,6
343,Franklin,TN,Triangle,1999-06-01,23:00,Terça-feira,1,6
345,Corpus Christi,TX,Other,1999-06-01,22:45,Terça-feira,1,6
346,Lost Park area,CO,Other,1999-06-01,22:00,Terça-feira,1,6
347,Townsend,DE,Unknown,1999-06-01,22:00,Terça-feira,1,6
348,Ventura,CA,Unknown,1999-06-01,21:00,Terça-feira,1,6
349,Sandusky,OH,Rectangle,1999-06-01,21:00,Terça-feira,1,6
350,Spokane,WA,Light,1999-06-01,20:15,Terça-feira,1,6
353,Gonzales,CA,Changing,1999-06-01,19:00,Terça-feira,1,6
354,Batavia,OH,Light,1999-06-01,19:00,Terça-feira,1,6
355,Milford,DE,Fireball,1999-06-01,19:00,Terça-feira,1,6
