,City,Shape,Quantidade
5695,San Francisco Bay Area,Light,2.0
5700,Los Angeles,Rectangle,249.0
5701,Mount Shasta,Oval,8.0
5704,Los Angeles,Circle,249.0
5706,Yuba City,Unknown,10.0
5713,Los Angeles/Long Beach,Fireball,1.0
5717,Newport Beach,Other,27.0
5718,Newport Beach,Disk,27.0
5721,Avila Beach,Diamond,2.0
5730,Oakland,Disk,49.0
5731,Temecula,Rectangle,47.0
5741,Carlsbad,Unknown,39.0
5750,Quincy,Cylinder,7.0
5756,Folsom,Unknown,17.0
5768,Ukiah,Rectangle,14.0
5776,Murrieta/Temecula,Light,1.0
5786,Norco,Light,4.0
5801,Los Angeles,Light,249.0
5816,Newbury Park,Light,6.0
5823,Grass Valley,Flash,19.0
5842,Cudahy,Light,1.0
5845,Burbank,Light,48.0
5860,Bellflower,Formation,4.0
5867,San Francisco,Other,122.0
5878,Paramount,Light,8.0
5880,Paramount,Disk,8.0
5884,Eureka,Triangle,19.0
5897,Felton,Circle,5.0
5912,Newport Beach,Unknown,27.0
5913,Del Mar,Sphere,5.0
5915,Laguna Beach,Sphere,15.0
5922,Paincines (Pinnacle Rocks in Pinnacles National Monument),Light,3.0
5924,Salinas,Oval,23.0
5925,Paincines (Pinnacle Rocks in Pinnacles National Monument),Light,3.0
5931,Burbank,Disk,48.0
5951,Daly City,Circle,10.0
5953,Oakland,Fireball,49.0
5956,Walnut Creek,Unknown,9.0
5965,Stockton,Triangle,34.0
5969,Los Angeles,Circle,249.0
5971,Burbank,Cylinder,48.0
5978,Oxnard,Cross,40.0
5986,Manteca,Disk,15.0
5989,Riverside,Circle,67.0
6010,Encinitas,Disk,16.0
6028,Los Angeles,Fireball,249.0
6030,Ventura,Sphere,47.0
6043,Sacramento,Teardrop,175.0
6048,Downey,Fireball,14.0
6061,Boulder Creek,Other,5.0
6066,San Diego,Light,269.0
6069,San Bernardino,Triangle,39.0
6076,Antioch,Fireball,38.0
6080,Santa Barbara,Disk,54.0
6095,Simi Valley,Unknown,34.0
6100,San Pedro,Disk,20.0
6107,Cerritos/Buena Park area,Light,1.0
6110,San Martin,Circle,2.0
6129,Newport Beach,Unknown,27.0
6160,San Diego,Oval,269.0
6167,Pasadena,Other,24.0
6169,Goleta,Light,16.0
6179,Windsor,Formation,9.0
6180,Montclair,Fireball,5.0
6182,Windsor,Circle,9.0
6183,Windsor,Light,9.0
6184,Windsor,Other,9.0
6194,Sonora,Light,11.0
6207,Santa Rosa,Triangle,67.0
6212,San Pedro,Oval,20.0
6214,Sacramento,Cigar,175.0
6226,Carmel-by-the-Sea,Sphere,2.0
6229,Irvine,Disk,53.0
6238,Vista,Chevron,21.0
6242,Arroyo Grande,Light,7.0
6267,Chico,Light,28.0
6276,Needles,Circle,4.0
6283,Sacramento,Fireball,175.0
6289,Mission Viejo,Sphere,24.0
6295,Cerritos,Light,8.0
6310,Half-Moon Bay (off shore; cruise ship),Sphere,1.0
6323,San Ramon/Danville,Disk,1.0
6347,Oxnard,Light,40.0
6352,Lancaster/Freemont,Teardrop,1.0
6366,San Francisco,Light,122.0
6369,Long Beach,Flash,91.0
6384,Templeton,Oval,4.0
6386,Point Reyes,Oval,1.0
6400,Foothill Ranch,Disk,4.0
6401,Foothill Ranch,Disk,4.0
6402,Evanston,Flash,1.0
6411,Burbank,Light,48.0
6415,San Diego,Light,269.0
6421,Burbank,Fireball,48.0
6424,Goleta,Other,16.0
6433,Pomona,Disk,27.0
6438,Santa Cruz,Disk,35.0
6446,Los Angeles,Fireball,249.0
6458,Kelseyville,Cylinder,6.0
6462,Whittier,Light,28.0
6466,Redondo Beach,Disk,25.0
6468,Los Angeles,Circle,249.0
6470,Santa Clarita,Disk,17.0
